"Gaisano Mall Davao MBI - March 1, 2026",,,,,,,
,,,,,,,
BRAND,THE HEALTHSHOP PRODUCTS,UoM,Content,Ave Unit Cost,Selling Price,QTY,Expiry Date
,,,,,,,
,THS - CHINESE PRODUCTS,,,,,,
CH,IMPEOUS MAN 10S ,BOT,, 70.00 , 500.00 ,,
CH,IMPEOUS MAN 10S PC,PC,10, 7.00 , 50.00 ,4,8/31/30
CH,ACTIVE WHITE L- GLUTATHIONE 1000MG W/ C 60S,BOX,, 80.00 , 500.00 ,,
CH,ACTIVE WHITE L- GLUTATHIONE 1000MG W/ C 60S  PC,PC,60, 1.33 , 10.00 ,,
CH,ALASKA GARLIC 200S,BOT,, 85.00 , 330.00 ,10,12/1/29
CH,ALASKA GARLIC 200S PC,PC,200, 0.43 , 3.00 ,,
CH,ALASKA GARLIC 500S,BOT,, 145.00 , 795.00 ,4,12/1/26
CH,ALASKA GARLIC 500S  PC,PC,500, 0.29 , 3.00 ,534,12/1/29
CH,ANCOM 10s,BOT,, 70.00 , 125.00 ,,
CH,ANCOM 10s PC,PC,10, 7.00 , 12.00 ,,
CH,ANXIN 100S,BOT,, 70.00 , 90.00 ,,
CH,BAINETING 15ML,BOT,, 80.00 , 110.00 ,,
CH,BETET,BOX,, 35.00 , 58.00 ,16,1/1/27
CH,BEVIDAN 50S,BOT,, 120.00 , 150.00 ,,
CH,BEVIDAN 60S,BOT,, 150.00 , 230.00 ,,
CH,BL OINTMENT 7G,TUBE,, 30.31 , 40.00 ,1,12/31/27
CH,BL OINTMENT 10G,TUBE,, 35.01 , 70.00 ,,
CH,BL SOAP,BAR,, 33.00 , 80.00 ,,
CH,BUTIAO 100S PINK,BOT,, 160.00 , 250.00 ,,
CH,DIABETESE PILLS 120S,BOT,, 169.38 , 290.00 ,,
CH,EVENING PRIMROSE OIL 500MG 50S,BOT,, 145.00 , 255.00 ,4,5/1/27
CH,EVENING PRIMROSE OIL 500MG 50S PC,PC,50, 2.90 , 6.00 ,,
CH,EYE BRIGHTENE PILL 60S,BOT,, 182.50 , 295.00 ,,
CH,FLOUCINONIDE OINTMENT 50s,TUBE,, 29.00 , 40.00 ,39,9/1/27
CH,FUCHINGSUNG-N CREAM,TUBE,, 30.00 , 45.00 ,77,9/30/27
CH,GREEN TEA 100s,BOX,, 260.00 , 385.00 ,,
CH,GREEN TEA 100s PC,PC,100, 2.60 , 5.00 ,,
CH,GREEN TEA 20S,BOX,, 66.88 , 100.00 ,,
CH,GREEN TEA 20S PC,PC,20, 3.34 , 8.00 ,,
CH,GROWTH FACILITATION BOY 100S,BOT,, 360.00 , 600.00 ,,
CH,GROWTH FACILITATION BOY 100S PC,PC,100, 3.60 , 7.00 ,,
CH,GROWTH FACILITATION GIRL 100S,BOT,, 355.00 , 550.00 ,,
CH,GROWTH FACILITATION GIRL 100S PC,PC,100, 3.55 , 7.00 ,,
CH,HAIODINE 50S,BOT,, 90.00 , 170.00 ,,
CH,HEALTH SOURCE COD LIVER OIL CAPSULE 500S,BOT,, 192.50 , 300.00 ,4,9/1/28
CH,HEALTH SOURCE FISH OIL ORANGE LIQUID,BOT,, 170.00 , 255.00 ,,
CH,HEALTHY BRAIN PILLS 300S,BOT,, 229.69 , 290.00 ,2,7/30/29
CH,JADE CRANES INHALER BIG,BOX,, 100.00 , 155.00 ,52,12/31/28
CH,JADE CRANES INHALER SMALL,BOX,, 35.00 , 75.00 ,19,2/28/28
CH,KANGYAN 100S,BOT,, 75.00 , 120.00 ,,
CH,KATINKO OINTMENT BIG,BOX,, 69.17 , 90.00 ,6,5/1/27
CH,KATINKO OINTMENT SMALL,BOX,, 35.00 , 55.00 ,,
CH,KIDNEY WASH CAPSULES 60'S ,BOT,, 250.00 , 350.00 ,3,10/31/30
CH,KIDNEY WASH CAPSULES 60'S PC,PC,60, 4.17 , 6.00 ,,
OTH,KOJIC ACID ORIGINAL SOAP,BOX,, 16.00 , 100.00 ,,
CH,KOREAN GINSENG TEA 300G 100S,BOX,, 280.00 , 600.00 ,,
CH,KOREAN GINSENG TEA 300G 100S PC,PC,300, 0.93 , 10.00 ,,
CH,KOREAN RED GINSENG CAPSULE 100S,BOT,, 400.00 , 750.00 ,,
CH,KOREAN RED GINSENG CAPSULE 100S PC,PC,100, 4.00 , 8.00 ,,
CH,KOREAN RED GINSENG EXTRACT CAPSULE 120S,BOT,," 1,800.00 "," 3,550.00 ",,
