Location,Description,Unit,Quantity,Unit Cost,Suggested Price,Total Value
THS - Gmall Davao,BUAH MERAH MIX,BOT,0.00,223.00,350.00,0
THS - Gmall Davao,BUAH MERAH MIX 15 IN 1,BOT,0.00,223.00,350.00,0
THS - Gmall Davao,MILK POWER LIGHTENING LOTION,BOT,0.00,140.00,300.00,0
THS - Gmall Davao,SALT REFILL 350G,PACK,0.00,68.00,130.00,0
THS - Gmall Davao,SPA MILK SALT 380G,BOT,0.00,83.13,155.00,0
THS - Gmall Davao,PINK NIPPLE CREAM 10.0G,TUBE,0.00,95.00,0.00,0
THS - Gmall Davao,ACNE MELASMA COQ10 (DARK PINK),BOX,0.00,18.75,30.00,0
THS - Gmall Davao,ACNE MELASMA CREAM 4G (PINK),BOX,0.00,16.67,30.00,0
THS - Gmall Davao,HERBAL FRUITY CREAM 4G (YELLOW),BOX,0.00,17.50,30.00,0
THS - Gmall Davao,PAPAYA EXTRACT CREAM,BOX,0.00,18.75,30.00,0
THS - Gmall Davao,W/ GINSENG PEARLS 4G (RED),BOX,0.00,18.75,30.00,0
THS - Gmall Davao,WHITENING CREAM 4G OTHERS (WHITE) IMPORTED,BOX,0.00,18.75,30.00,0
THS - Gmall Davao,WHITENING CREAM COENZYME Q10 4G (VIOLET),BOX,0.00,16.67,30.00,0
THS - Gmall Davao,CENTRUM PLAIN 365S,BOT,0.00,1.00,2.00,0
THS - Gmall Davao,CENTRUM PLAIN 365S PC,PC,0.00,3.84,10.00,0
THS - Gmall Davao,CENTRUM SILVER 325'S,BOT,0.00,1.00,3.00,0
THS - Gmall Davao,CENTRUM SILVER 325'S PC,PC,16.00,4.25,15.00,68
THS - Gmall Davao,CENTRUM PLAIN 425S,BOT,0.00,1.00,2.00,0
THS - Gmall Davao,CENTRUM PLAIN 425S PC,PC,0.00,3.88,12.00,0
THS - Gmall Davao,IMPEOUS MAN 10S,BOT,0.00,70.00,500.00,0
THS - Gmall Davao,IMPEOUS MAN 10S PC,PC,4.00,7.00,50.00,28
THS - Gmall Davao,ACTIVE WHITE L- GLUTATHIONE 1000MG W/ C 60S,BOX,0.00,80.00,500.00,0
THS - Gmall Davao,ACTIVE WHITE L- GLUTATHIONE 1000MG W/ C 60S  PC,PC,0.00,1.33,10.00,0
THS - Gmall Davao,ALASKA GARLIC 200S,BOT,10.00,85.00,330.00,850
THS - Gmall Davao,ALASKA GARLIC 200S PC,PC,0.00,0.43,3.00,0
THS - Gmall Davao,ALASKA GARLIC 500S,BOT,4.00,145.00,795.00,580
THS - Gmall Davao,ALASKA GARLIC 500S  PC,PC,534.00,0.29,3.00,154.85999999999999
THS - Gmall Davao,ANCOM 10s,BOT,0.00,70.00,125.00,0
THS - Gmall Davao,ANCOM 10s PC,PC,0.00,7.00,12.00,0
THS - Gmall Davao,ANXIN 100S,BOT,0.00,70.00,90.00,0
THS - Gmall Davao,BAINETING 15ML,BOT,0.00,80.00,110.00,0
THS - Gmall Davao,BETET,BOX,16.00,35.00,58.00,560
THS - Gmall Davao,BEVIDAN 50S,BOT,0.00,120.00,150.00,0
